Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8
0.82,0.01,0.07,0.0,0.0,0.0,0.0,0.12
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.935,0.0,0.105,0.005,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.035,0.005,0.0,0.0,0.0,0.0,0.01
0.925,0.085,0.0,0.0,0.0,0.0,0.0,0.0
0.765,0.0,0.608,0.005,0.0,0.0,0.0,0.0
0.985,0.0,0.005,0.0,0.0,0.0,0.0,0.04
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
0.99,0.018333333333333333,0.02,0.0,0.0,0.0,0.0,0.0
0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.995,0.0,0.01,0.0,0.0,0.0,0.0,0.0
0.89,0.0075,0.12,0.0,0.0,0.0,0.0,0.015
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.815,0.09,0.34,0.01,0.0,0.0,0.0,0.01
0.815,0.23,0.13,0.015,0.0,0.0,0.0,0.025
0.995,0.0,0.005,0.0,0.0,0.0,0.0,0.0
0.98,0.0,0.035,0.0,0.045,0.0,0.0,0.015
1.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0
0.315,0.0,0.02,0.03,0.0,0.0,0.0,0.73
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.995,0.0,0.015,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.015
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.011666666666666665,0.0725,0.0,0.0,0.0,0.0,0.005
1.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0
0.995,0.0,0.01,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.785,0.1125,0.01,0.0,0.0,0.0,0.015
0.07,0.785,0.1125,0.01,0.0,0.0,0.0,0.015
0.01916666666666667,0.95,0.0,0.015,0.0,0.0,0.0,0.0
0.005,0.945,0.04,0.0,0.0,0.0,0.0,0.0
0.065,0.855,0.015,0.01,0.0,0.0,0.0,0.07
0.09291666666666666,0.91,0.0,0.01,0.0,0.0,0.0,0.0
0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.975,0.005,0.0,0.0,0.0,0.0
0.045,0.0,0.87,0.005,0.0,0.0,0.0,0.035
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.005,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.94,0.0,0.0,0.0,0.0,0.025
0.095,0.0,0.845,0.005,0.0,0.0,0.0,0.025
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.955,0.01,0.0,0.0,0.0,0.0
0.025,0.0,0.785,0.0,0.0,0.0,0.0,0.14
0.765,0.01,0.48166666666666663,0.0,0.0,0.0,0.0,0.015
0.01,0.0,0.73,0.0,0.0,0.0,0.0,0.295
0.01,0.0,0.775,0.17,0.0,0.0,0.0,0.0
